Name,Calories,Protein (g),Carbs (g),Fat (g)
Greek Salad,250,5,10,18
Veg Salad,200,3,15,12
Clover Salad,220,4,12,14
Chicken Salad,300,25,6,20
Lasagna Rolls,400,15,45,18
Peri Peri Rolls,350,12,40,15
Chicken Rolls,450,20,40,25
Veg Rolls,350,10,45,10
Ripple Ice Cream,200,4,25,12
Fruit Ice Cream,180,3,22,10
Jar Ice Cream,150,3,20,8
Vanilla Ice Cream,200,4,24,11
Chicken Sandwich,0,0,0,0
Vegan Sandwich,0,0,0,0
Grilled Sandwich,0,0,0,0
Bread Sandwich,0,0,0,0
Cup Cake,250,4,30,12
Vegan Cake,200,5,35,10
Butterscotch Cake,300,5,40,15
Sliced Cake,280,4,38,12
Garlic Mushroom,180,5,8,10
Fried Cauliflower,250,6,15,12
Mix Veg Pulao,220,5,35,8
Rice Zucchini,200,4,30,9
Cheese Pasta,400,12,45,20
Tomato Pasta,350,10,50,15
Creamy Pasta,450,15,40,25
Chicken Pasta,400,10,48,18
Butter Noodles,350,8,55,10
Veg Noodles,300,7,50,8
Somen Noodles,400,10,60,12
Cooked Noodles,320,9,58,10
BBQ Chicken,600,35,12,40
Spicy Chicken Wings,300,20,15,12
Tandoori Chicken,450,30,10,25
Grilled Chicken,450,30,10,25
